trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
293,emboss,0.165,invert,0.002,translate-y,0.177,emboss,0.009,horizontal-flip,0.036,horizontal-flip,0.599,sharpen,0.76,shear,0.322,dropout,0.026,translate-y,0.318,0.5036666666666667,5.400000000000005
72,invert,0.113,emboss,0.639,invert,0.619,fog,0.674,horizontal-flip,0.557,fog,0.374,gaussian-blur,0.12,crop,0.009,sharpen,0.926,crop,0.128,0.5033333333333333,5.366666666666664
66,brighten,0.255,crop,0.176,fog,0.801,gamma-contrast,0.0,vertical-flip,0.078,vertical-flip,0.64,sharpen,0.622,crop,0.012,gamma-contrast,0.971,clouds,0.195,0.502,5.233333333333334
180,translate-y,0.056,RandomEracing,0.235,horizontal-flip,0.008,add-to-hue-and-saturation,0.032,RandomEracing,0.1,brighten,0.654,brighten,0.065,sharpen,0.56,emboss,0.172,gamma-contrast,0.103,0.5006666666666667,5.100000000000005
257,translate-x,0.133,brighten,0.559,sharpen,0.895,shear,0.858,brighten,0.54,horizontal-flip,0.346,crop,0.174,gamma-contrast,0.564,translate-y,0.932,gaussian-blur,0.009,0.494,4.433333333333334
250,sharpen,0.183,dropout,0.204,crop,0.338,shear,0.243,vertical-flip,0.124,horizontal-flip,0.589,emboss,0.596,gamma-contrast,0.794,horizontal-flip,0.634,translate-x,0.008,0.4913333333333334,4.166666666666674
189,invert,0.293,rotate,0.225,brighten,0.407,clouds,0.203,sharpen,0.277,clouds,0.905,gamma-contrast,0.722,fog,0.767,sharpen,0.374,shear,0.01,0.49133333333333334,4.166666666666669
164,invert,0.208,gaussian-blur,0.528,RandomEracing,0.385,fog,0.375,coarse-dropout,0.385,RandomEracing,0.862,sharpen,0.697,rotate,0.005,horizontal-flip,0.027,emboss,0.017,0.48966666666666664,3.9999999999999982
96,fog,0.268,brighten,0.523,emboss,0.589,gamma-contrast,0.604,sharpen,0.122,horizontal-flip,0.676,gamma-contrast,0.215,emboss,0.071,RandomEracing,0.197,fog,0.012,0.48900000000000005,3.933333333333339
25,horizontal-flip,0.866,RandomEracing,0.961,coarse-salt-pepper,0.059,brighten,0.071,translate-x,0.208,additive-gaussian-noise,0.83,horizontal-flip,0.897,crop,0.23,gamma-contrast,0.954,dropout,0.647,0.48866666666666664,3.8999999999999977
237,brighten,0.919,emboss,0.148,clouds,0.334,add-to-hue-and-saturation,0.075,translate-x,0.071,horizontal-flip,0.877,fog,0.26,emboss,0.898,coarse-dropout,0.859,horizontal-flip,0.012,0.4883333333333333,3.8666666666666627
254,sharpen,0.116,brighten,0.606,dropout,0.19,shear,0.487,clouds,0.694,horizontal-flip,0.366,horizontal-flip,0.292,horizontal-flip,0.68,translate-y,0.991,emboss,0.004,0.4883333333333333,3.8666666666666627
298,shear,0.139,translate-x,0.104,add-to-hue-and-saturation,0.8,shear,0.006,horizontal-flip,0.102,gamma-contrast,0.416,sharpen,0.702,horizontal-flip,0.748,sharpen,0.351,coarse-dropout,0.536,0.486,3.633333333333333
48,invert,0.602,fog,0.996,sharpen,0.007,rotate,0.339,RandomEracing,0.19,brighten,0.889,emboss,0.219,crop,0.744,RandomEracing,0.917,rotate,0.09,0.48533333333333334,3.566666666666668
255,clouds,0.03,emboss,0.104,invert,0.348,crop,0.0,crop,0.115,horizontal-flip,0.664,dropout,0.295,additive-gaussian-noise,0.297,sharpen,0.354,fog,0.11,0.48533333333333334,3.566666666666668
116,vertical-flip,0.323,RandomEracing,0.436,RandomEracing,0.57,clouds,0.244,sharpen,0.11,shear,0.888,sharpen,0.12,translate-x,0.208,additive-gaussian-noise,0.148,coarse-salt-pepper,0.014,0.48500000000000004,3.5333333333333385
87,emboss,0.31,translate-y,0.234,add-to-hue-and-saturation,0.496,add-to-hue-and-saturation,0.597,add-to-hue-and-saturation,0.847,clouds,0.977,gamma-contrast,0.852,RandomEracing,0.015,emboss,0.232,brighten,0.011,0.48466666666666675,3.500000000000009
139,brighten,0.245,fog,0.636,shear,0.194,horizontal-flip,0.31,fog,0.1,gaussian-blur,0.576,RandomEracing,0.566,fog,0.011,brighten,0.899,shear,0.012,0.48133333333333334,3.166666666666668
199,invert,0.038,coarse-dropout,0.455,RandomEracing,0.587,translate-y,0.459,sharpen,0.502,horizontal-flip,0.295,gamma-contrast,0.021,crop,0.232,sharpen,0.972,translate-y,0.099,0.4803333333333333,3.066666666666662
275,invert,0.066,rotate,0.871,horizontal-flip,0.725,horizontal-flip,0.011,gamma-contrast,0.377,RandomEracing,0.907,sharpen,0.062,add-to-hue-and-saturation,0.43,coarse-salt-pepper,0.391,brighten,0.005,0.47866666666666663,2.899999999999997
