epoch,acc,loss,val_acc,val_loss
0,0.25281564908120924,2.4552519174461613,0.43133333333333335,1.6275800848007203
1,0.41286307053941906,1.6217503413054528,0.5691666666666667,1.1925231924057007
2,0.5094101956135151,1.3689279961882785,0.6836666666666666,0.9136425301233927
3,0.5719287196206283,1.206761308336795,0.733,0.7773262720108032
4,0.6207024303497333,1.080614263585989,0.7845,0.648248425245285
5,0.6468398043864849,1.0065791031702356,0.7676666666666667,0.6950740317503611
6,0.6734773266152935,0.931166945527698,0.7828333333333334,0.7337897068659465
7,0.6958543272080616,0.8647965227773222,0.7666666666666667,0.7430561877091726
8,0.7085432720806165,0.8273083490684461,0.8185,0.5417093764940898
9,0.7228067575577949,0.7933581977747005,0.8236666666666667,0.5150954744021098
10,0.736866478956728,0.7485256890308666,0.8551666666666666,0.44821858247121177
11,0.7478326911677534,0.7170103729460179,0.8726666666666667,0.40011698484420777
12,0.7546310017783047,0.6961918018700883,0.8566666666666667,0.43414458990097043
13,0.7653564018968583,0.6677082828298503,0.8551666666666666,0.4756559317906698
14,0.7722843805572022,0.6496522515022903,0.8835,0.34700421277681986
15,0.7771747184350919,0.634423827629914,0.8668333333333333,0.4321981290876865
16,0.7841026970954357,0.6165272315746592,0.8943333333333333,0.3330911513964335
17,0.7896598992294013,0.5998161680064543,0.8806666666666667,0.38275868773460386
18,0.7938278008298755,0.5858725294819688,0.8963333333333333,0.33057768072684607
19,0.7976437462951986,0.5730494195821728,0.8708333333333333,0.43683465611934663
20,0.8017931238885596,0.5633542059330577,0.9006666666666666,0.32308111733198164
21,0.8099807350326023,0.5400369790447274,0.8923333333333333,0.33416807491580647
22,0.8152230290456431,0.5266202620269811,0.8883333333333333,0.4005720963478088
23,0.817501481920569,0.5199186301491514,0.8973333333333333,0.32042421273390453
24,0.8159269413159455,0.5199362447294316,0.9016666666666666,0.3307675232489904
25,0.81681609365738,0.5147773729892317,0.89,0.3548852594097455
