trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
61,brighten,0.017,clouds,0.083,crop,0.991,horizontal-flip,0.225,horizontal-flip,0.731,translate-y,0.178,translate-y,0.057,vertical-flip,0.708,invert,0.535,invert,0.028,0.5136666666666667,6.566666666666671
117,gaussian-blur,0.7,additive-gaussian-noise,0.082,sharpen,0.172,brighten,0.952,horizontal-flip,0.962,crop,0.023,vertical-flip,0.137,emboss,0.482,invert,0.562,invert,0.238,0.511,6.3
110,sharpen,0.193,coarse-salt-pepper,0.28,fog,0.978,emboss,0.177,horizontal-flip,0.944,vertical-flip,0.056,coarse-salt-pepper,0.378,clouds,0.731,invert,0.516,invert,0.631,0.5073333333333333,5.933333333333329
235,shear,0.233,translate-x,0.267,vertical-flip,0.287,gamma-contrast,0.983,horizontal-flip,0.313,sharpen,0.927,additive-gaussian-noise,0.001,brighten,0.376,crop,0.036,add-to-hue-and-saturation,0.445,0.5056666666666666,5.766666666666659
128,emboss,0.023,gaussian-blur,0.109,additive-gaussian-noise,0.64,add-to-hue-and-saturation,0.299,horizontal-flip,0.374,horizontal-flip,0.208,invert,0.618,crop,0.688,invert,0.877,invert,0.051,0.504,5.6
190,shear,0.214,translate-x,0.224,horizontal-flip,0.326,brighten,0.983,horizontal-flip,0.299,rotate,0.059,rotate,0.274,shear,0.157,invert,0.903,add-to-hue-and-saturation,0.502,0.5036666666666667,5.56666666666667
84,brighten,0.652,sharpen,0.062,crop,0.446,emboss,0.044,horizontal-flip,0.69,horizontal-flip,0.131,coarse-salt-pepper,0.355,vertical-flip,0.275,invert,0.328,invert,0.955,0.49833333333333335,5.033333333333334
87,brighten,0.07,coarse-salt-pepper,0.223,shear,0.758,gamma-contrast,0.949,sharpen,0.671,horizontal-flip,0.187,coarse-dropout,0.117,translate-x,0.388,invert,0.047,invert,0.852,0.49733333333333335,4.933333333333334
44,sharpen,0.753,shear,0.372,horizontal-flip,0.846,brighten,0.772,add-to-hue-and-saturation,0.622,coarse-dropout,0.917,shear,0.725,gaussian-blur,0.583,invert,0.29,invert,0.9,0.49566666666666664,4.766666666666664
88,shear,0.045,shear,0.116,gaussian-blur,0.219,shear,0.688,horizontal-flip,0.813,brighten,0.21,emboss,0.013,translate-y,0.548,invert,0.602,invert,0.896,0.49433333333333335,4.633333333333334
80,add-to-hue-and-saturation,0.577,horizontal-flip,0.825,emboss,0.257,horizontal-flip,0.565,add-to-hue-and-saturation,0.34,fog,0.161,sharpen,0.026,dropout,0.056,invert,0.774,invert,0.458,0.49400000000000005,4.600000000000004
95,horizontal-flip,0.055,horizontal-flip,0.509,fog,0.177,shear,0.327,horizontal-flip,0.828,emboss,0.107,gamma-contrast,0.815,crop,0.55,invert,0.369,invert,0.045,0.49300000000000005,4.5000000000000036
109,coarse-dropout,0.319,gamma-contrast,0.478,translate-y,0.402,invert,0.468,horizontal-flip,0.682,gaussian-blur,0.086,clouds,0.028,brighten,0.998,invert,0.358,invert,0.985,0.49300000000000005,4.5000000000000036
40,brighten,0.645,gamma-contrast,0.727,crop,0.981,crop,0.314,horizontal-flip,0.16,rotate,0.218,additive-gaussian-noise,0.092,emboss,0.944,invert,0.232,invert,0.571,0.49266666666666664,4.466666666666663
185,shear,0.16,translate-y,0.132,coarse-salt-pepper,0.48,sharpen,0.965,sharpen,0.19,dropout,0.109,crop,0.041,horizontal-flip,0.603,coarse-salt-pepper,0.054,horizontal-flip,0.791,0.492,4.399999999999999
14,gamma-contrast,0.954,sharpen,0.44,vertical-flip,0.815,vertical-flip,0.904,horizontal-flip,0.206,rotate,0.032,translate-y,0.264,coarse-salt-pepper,0.82,invert,0.225,invert,0.864,0.492,4.399999999999999
105,gaussian-blur,0.082,shear,0.151,gaussian-blur,0.559,brighten,0.617,sharpen,0.754,dropout,0.052,translate-x,0.333,translate-y,0.268,invert,0.482,invert,0.752,0.49033333333333334,4.233333333333333
112,clouds,0.07,dropout,0.861,coarse-dropout,0.507,shear,0.163,horizontal-flip,0.856,gaussian-blur,0.002,gamma-contrast,0.685,coarse-dropout,0.06,invert,0.921,invert,0.354,0.488,3.9999999999999982
67,translate-y,0.189,translate-y,0.282,gamma-contrast,0.963,shear,0.575,add-to-hue-and-saturation,0.361,crop,0.245,emboss,0.619,gamma-contrast,0.269,invert,0.859,invert,0.464,0.48533333333333334,3.733333333333333
127,rotate,0.93,gaussian-blur,0.49,sharpen,0.569,brighten,0.172,sharpen,0.485,invert,0.994,additive-gaussian-noise,0.541,vertical-flip,0.748,invert,0.828,invert,0.722,0.48533333333333334,3.733333333333333
